id,date,country,cost_center,category,description,amount_usd,approved
1753,2024-01-01,Brazil,CC-009,Consulting,Evolve end-to-end methodologies,4717.19,False
1002,2024-01-01,Mexico,CC-003,IT,Seize granular content,19225.27,True
2294,2024-01-01,Brazil,CC-003,Marketing,Incubate real-time convergence,6113.7,True
1059,2024-01-01,Mexico,CC-009,Marketing,Orchestrate best-of-breed convergence,7590.02,True
1054,2024-01-01,Argentina,CC-009,Travel,Integrate global experiences,8098.84,True
665,2024-01-02,Argentina,CC-013,Consulting,Orchestrate front-end methodologies,1986.11,True
707,2024-01-02,Colombia,CC-008,Marketing,Grow interactive content,6406.88,True
143,2024-01-02,Mexico,CC-007,Travel,Matrix ubiquitous action-items,4255.39,True
446,2024-01-02,Peru,CC-003,Travel,Deliver one-to-one web services,6335.0,False
466,2024-01-02,Peru,CC-013,Consulting,E-enable granular paradigms,2084.8,True
535,2024-01-02,Brazil,CC-014,Infrastructure,Deliver bricks-and-clicks e-commerce,19993.18,True
2129,2024-01-02,Brazil,CC-010,Training,Optimize revolutionary eyeballs,6920.86,False
1631,2024-01-02,Colombia,CC-014,Consulting,Engineer holistic convergence,4004.15,True
2017,2024-01-03,Peru,CC-015,Training,E-enable back-end e-commerce,8163.09,True
1884,2024-01-03,Chile,CC-006,Travel,Mesh ubiquitous web-readiness,4648.36,True
954,2024-01-03,Mexico,CC-011,Infrastructure,Enhance collaborative synergies,4790.52,True
35,2024-01-04,Chile,CC-015,IT,Benchmark viral web services,6411.53,True
106,2024-01-04,Brazil,CC-004,IT,Deliver vertical bandwidth,26702.26,True
2408,2024-01-04,Brazil,CC-002,Consulting,Reinvent frictionless content,9641.11,True
1153,2024-01-04,Argentina,CC-009,Consulting,Drive innovative interfaces,3247.54,True
2231,2024-01-04,Brazil,CC-015,Training,Strategize collaborative web-readiness,9721.31,True
1080,2024-01-05,Brazil,CC-008,Training,Implement holistic interfaces,8233.58,True
1903,2024-01-05,Mexico,CC-005,IT,Leverage revolutionary synergies,25533.0,True
283,2024-01-05,Peru,CC-010,Travel,Implement plug-and-play action-items,9721.91,True
83,2024-01-06,Argentina,CC-013,IT,Revolutionize robust partnerships,36714.8,True
313,2024-01-06,Chile,CC-014,Marketing,Grow dynamic interfaces,7600.94,True
54,2024-01-07,Argentina,CC-003,Consulting,Syndicate frictionless e-business,9141.5,False
1929,2024-01-07,Argentina,CC-006,Training,Disintermediate real-time users,4528.12,True
533,2024-01-08,Colombia,CC-006,Consulting,Brand next-generation networks,5896.12,True
2144,2024-01-08,Brazil,CC-006,Training,Benchmark bleeding-edge bandwidth,5135.65,True
726,2024-01-08,Chile,CC-011,Consulting,Deliver scalable vortals,5718.45,True
859,2024-01-08,Brazil,CC-005,Consulting,Generate clicks-and-mortar content,5629.36,True
939,2024-01-08,Colombia,CC-009,Infrastructure,Re-contextualize customized channels,14817.58,True
2172,2024-01-08,Peru,CC-010,IT,Architect robust applications,9208.11,True
165,2024-01-08,Peru,CC-001,Consulting,Target cross-media architectures,2102.77,True
1783,2024-01-08,Colombia,CC-012,IT,Expedite strategic relationships,29915.01,True
2383,2024-01-09,Colombia,CC-012,Infrastructure,Generate integrated info-mediaries,27726.55,False
1973,2024-01-09,Colombia,CC-001,Travel,Enable rich e-business,4444.14,True
1225,2024-01-09,Chile,CC-009,Consulting,Facilitate 24/7 eyeballs,8827.6,True
1235,2024-01-09,Mexico,CC-003,Marketing,Strategize integrated solutions,5152.69,True
706,2024-01-10,Argentina,CC-005,Marketing,Synthesize intuitive communities,6161.5,True
806,2024-01-10,Argentina,CC-010,Marketing,Harness bleeding-edge methodologies,4746.17,False
2358,2024-01-10,Argentina,CC-008,Marketing,Transform world-class applications,9489.09,False
1496,2024-01-11,Argentina,CC-007,Consulting,Extend revolutionary supply-chains,1968.32,True
