id,data,pais,centro_custo,categoria,descricao,valor_usd,aprovado
2026,2024-01-01,Argentina,CC-008,Infraestrutura,Harness scalable eyeballs,24236.48,True
82,2024-01-01,Chile,CC-007,Treinamento,Streamline enterprise interfaces,8980.39,True
388,2024-01-01,Brasil,CC-013,TI,Enable robust initiatives,6718.7,True
1219,2024-01-01,Colômbia,CC-009,Treinamento,Deliver frictionless e-tailers,9173.15,True
2292,2024-01-01,Colômbia,CC-007,Viagens,Benchmark best-of-breed applications,6312.48,True
1986,2024-01-03,Colômbia,CC-003,Consultoria,Deliver dynamic solutions,9215.33,True
1109,2024-01-03,Colômbia,CC-013,Treinamento,Deploy cutting-edge applications,1673.66,False
1401,2024-01-03,México,CC-002,Infraestrutura,E-enable holistic paradigms,8519.07,True
1995,2024-01-03,Colômbia,CC-002,Viagens,Utilize value-added experiences,1294.49,True
1848,2024-01-04,México,CC-014,Consultoria,Incentivize b2c deliverables,5124.64,True
2077,2024-01-04,Brasil,CC-001,TI,Innovate one-to-one models,21737.04,False
984,2024-01-04,Peru,CC-004,Viagens,Iterate next-generation functionalities,3406.05,False
700,2024-01-04,México,CC-007,Infraestrutura,Aggregate next-generation mindshare,28941.97,True
670,2024-01-04,Colômbia,CC-014,Treinamento,Seize 24/365 bandwidth,7241.78,True
1910,2024-01-05,Brasil,CC-014,TI,Redefine impactful web services,21234.56,True
1901,2024-01-05,Colômbia,CC-004,Treinamento,Empower vertical schemas,4088.1,True
2445,2024-01-06,México,CC-012,Viagens,Incubate cross-platform metrics,4661.28,False
640,2024-01-06,Argentina,CC-004,Treinamento,Target best-of-breed roi,2425.27,True
212,2024-01-06,Colômbia,CC-010,Viagens,Facilitate open-source platforms,2310.97,True
986,2024-01-07,Brasil,CC-015,Marketing,Incentivize b2b models,6651.74,True
211,2024-01-07,Colômbia,CC-011,Infraestrutura,Deploy killer partnerships,30648.99,True
1114,2024-01-07,Peru,CC-006,Marketing,Optimize viral web services,8771.25,False
880,2024-01-08,Argentina,CC-002,Viagens,Re-intermediate scalable metrics,8059.83,True
1166,2024-01-09,Argentina,CC-004,TI,Facilitate extensible communities,33325.26,True
505,2024-01-09,Peru,CC-009,Marketing,Integrate revolutionary platforms,2243.97,False
140,2024-01-10,México,CC-007,Infraestrutura,Mesh 24/365 vortals,34464.86,False
1667,2024-01-10,Brasil,CC-012,TI,Deliver enterprise infrastructures,12736.92,True
432,2024-01-10,Argentina,CC-013,Marketing,Strategize virtual content,7602.07,False
624,2024-01-11,Argentina,CC-012,Consultoria,Transform front-end applications,6792.41,True
788,2024-01-11,Argentina,CC-006,Marketing,Integrate scalable supply-chains,8992.34,True
1727,2024-01-11,Chile,CC-011,TI,Transition user-centric convergence,36978.15,True
1528,2024-01-11,Argentina,CC-012,Infraestrutura,Scale front-end niches,33797.56,False
1164,2024-01-11,México,CC-011,Marketing,Extend strategic relationships,4038.88,True
295,2024-01-12,Argentina,CC-002,Treinamento,Matrix synergistic technologies,1637.91,True
1693,2024-01-12,Colômbia,CC-015,Marketing,Iterate enterprise mindshare,7780.85,False
1356,2024-01-13,Argentina,CC-014,TI,Mesh sticky e-markets,22828.91,True
324,2024-01-13,Colômbia,CC-006,Treinamento,Morph global partnerships,6936.17,False
1611,2024-01-13,Argentina,CC-001,Viagens,Orchestrate bricks-and-clicks bandwidth,5938.07,False
1999,2024-01-13,Argentina,CC-003,Viagens,Architect interactive eyeballs,6541.5,True
1472,2024-01-14,Chile,CC-015,Consultoria,E-enable synergistic methodologies,6299.31,True
2331,2024-01-14,Argentina,CC-003,Treinamento,Incentivize one-to-one content,6540.52,False
955,2024-01-15,Colômbia,CC-010,TI,Extend holistic e-markets,34348.38,True
1419,2024-01-16,Peru,CC-011,Marketing,Mesh rich systems,4725.41,True
1591,2024-01-16,Peru,CC-012,TI,Syndicate proactive web-readiness,5480.88,True
1272,2024-01-16,Brasil,CC-008,Consultoria,Scale synergistic content,5579.12,True
2421,2024-01-17,Colômbia,CC-013,Viagens,Deploy magnetic e-markets,6336.1,True
231,2024-01-18,Peru,CC-014,Marketing,Cultivate rich vortals,1393.07,False
285,2024-01-18,Peru,CC-002,Consultoria,Maximize cross-platform e-commerce,3173.35,True
2316,2024-01-18,México,CC-010,Viagens,Syndicate intuitive infrastructures,1774.81,True
658,2024-01-19,Chile,CC-005,Viagens,Engineer global e-markets,6960.37,True
2349,2024-01-19,Brasil,CC-009,Marketing,Matrix real-time infrastructures,5200.29,True
1482,2024-01-19,Peru,CC-001,Consultoria,Target robust architectures,7394.34,True
1318,2024-01-19,Colômbia,CC-003,Infraestrutura,Engineer compelling convergence,8382.48,True
2352,2024-01-19,Colômbia,CC-004,Consultoria,Optimize compelling schemas,3078.1,True
126,2024-01-20,Colômbia,CC-013,Marketing,Scale dot-com bandwidth,7086.09,False
944,2024-01-20,Argentina,CC-002,TI,Streamline extensible infrastructures,28757.62,False
83,2024-01-20,Argentina,CC-013,TI,Utilize scalable mindshare,36714.8,True
1280,2024-01-20,Colômbia,CC-015,Infraestrutura,Target efficient vortals,23605.89,True
599,2024-01-20,Peru,CC-011,Treinamento,Re-intermediate global metrics,1589.81,False
2307,2024-01-21,Colômbia,CC-008,Infraestrutura,Engage intuitive action-items,35791.98,True
475,2024-01-21,Argentina,CC-004,Treinamento,Disintermediate bleeding-edge paradigms,5318.58,True
